Class Number,Class Name,Units,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ENGL ,Trans Genres,100 Units,"This course explores genres of writing and cultural production concerned with transgender life and politics. Students will engage genre's relationship to gender, as they will read across memoir, fiction, poetry, and criticism. (Theory).",C. Riley Snorton,"WinterEquivalent Course(s): GNSE 20133, RDIN 20408",,"GNSE 20133, RDIN 20408"
ENGL ,"Extinction, Disaster, Dystopia: Environment and Ecology in the Indian Subcontinent",100 Units,"This course aims to provide students an overview of key environmental and ecological issues in the Indian subcontinent. How have the unique precolonial, colonial, regional and national histories of this region shaped the peculiar nature of environmental issues? We will consider three major concepts-""extinction"", ""disaster"" and ""dystopia"" to see how they can be used to frame issues of environmental and ecological concern. Each concept will act as a framing device for issues such as conservation and preservation of wildlife, erasure of adivasi (first dwellers) ways of life, environmental justice, water scarcity and climate change. The course will aim to develop students' ability to assess the specificity of these concepts in different disciplines. For example: What methods and sources will an environmental historian use to write about wildlife? How does this differ from the approach an ecologist or literary writer might take? Students will analyze various media: both literary and visual, such as autobiographies of shikaris (hunters), graphic novels, photographs, documentary films, ethnographic accounts and environmental history.",Joya John,"SpringEquivalent Course(s): HIST 26806, GLST 25310, CRES 25310, SALC 25310",,"HIST 26806, GLST 25310, CRES 25310, SALC 25310"
ENGL ,Arts of Life,100 Units,"By foregrounding significant Enlightenment and Romantic configurations of the problem of the ""arts of life,"" and with a special emphasis on poetry, this course examines the mobile border between aesthetics and necessity in the long eighteenth century moment and in our own. In The Arts of Life (1802), John Aikin surveys the means of provision of food, clothing, and shelter in the Romantic age by means of a watchword distinction between those arts either ""absolutely necessary for life's preservation"" or ""conducive to comfort and convenience,"" as against those ""ministering to luxury and pleasure."" The same idea memorably animates the aesthetic counter-tradition running from William Blake's ""arts of life and death"" to William Morris's ""lesser arts of life.
In contextualizing the problem of the ""arts of life,"" we will resurrect productive historical thinking about an aesthetics that inextricably inheres within practices ""necessary for the preservation of life."" We will also explore the enduring vitality of such a notion in our own moment of ecological crisis and of casualized cultural arts (ostensibly marked by eclipsed autonomy for art's producers, consumers, and critics alike), with particular focus on problems of design and the affordances of form; on literature's evolving location among the ""arts of life""; and on the present reinvigoration of craft and design in popular visions of the aesthetic. (Poetry, 1650-1830; 18th/19th)",Timothy Campbell,SpringEquivalent Course(s): ENGL 32444,,ENGL 32444
ENGL ,Queering the American Family Drama,100 Units,"This course will examine what happens to the American Family Drama on stage when the 'family' is queer. Working in dialogue with a current production at Court Theatre, we will move beyond describing surface representations into an exploration of how queering the family implicates narrative, plot, character, formal conventions, aesthetics and production conditions (e.g. casting, venues, audiences, marketing and critical reception). Texts will include theatrical plays and musicals, recorded and live productions, and queer performance theory. This course will be a combined seminar and studio, inviting students to investigate through readings, discussion, staging experiments, and a choice of either a final paper or artistic project.",L. Buxbaum,"AutumnEquivalent Course(s): SIGN 26080, TAPS 22680, GNSE 20116",,"SIGN 26080, TAPS 22680, GNSE 20116"
ENGL ,Pale Fire,100 Units,This course is an intensive reading of Pale Fire by Nabokov.,M. Sternstein,"SpringEquivalent Course(s): FNDL 25311, GNSE 29610, REES 20020, REES 30020, GNSE 39610",,"FNDL 25311, GNSE 29610, REES 20020, REES 30020, GNSE 39610"
ENGL ,Intro to Critical Race Theory,100 Units,"Critical Race Theory (CRT) has recently filled headlines as it has become a hotly debated topic in U.S. political, educational, and media discourse. However, the tenets and thinkers that shape CRT tend to be left out of the conversations that dominate the media. What is this theoretical framework? Who are the thinkers who shape and contribute to these theories of the construction of race? What does CRT say about the relationship between race and institutions, such as the United States' legal system or education? To address these questions, students in this course will read and engage with foundational texts of CRT by scholars including Eduardo Bonilla-Silva, Kimberlé Crenshaw, and Cheryl Harris. In addition to learning the key tenets of this theoretical framework, students will also use it to think across disciplines, institutional structures, and forms of media.",Danielle Jones,"WinterEquivalent Course(s): RDIN 22900, CRES 12900",,"RDIN 22900, CRES 12900"
ENGL ,Translation Theory and Practice,100 Units,"This course introduces students to the field of Translation Studies and its key concepts, including fidelity, equivalence, and untranslatability, as well as the ethics and politics of translation. We will investigate the metaphors and models that have been used to think about translation and will consider translation as a transnational practice, exploring how ""world histories"" may be hidden within ""word histories,"" as Emily Apter puts it. In the process, we will assess theories of translation and poetry from classical antiquity to the present; compare multiple translations of the same text; and examine notable recent translations. Students will regularly carry out translation exercises and create a final translation project of their own. (20th/21st)",Rachel Galvin,SpringEquivalent Course(s): ENGL 36210,,ENGL 36210
ENGL ,Writing after Windrush,100 Units,"Writing After Windrush"" explores the legacies of Windrush in fiction and poetry, visual arts, and social movements, interpreting ""writing"" as a broad range of media and discourse. Beginning with Henry Swanzy, Una Marson, and their leadership on the BBC radio show Caribbean Voices, we will engage with the creative works of Windrush migrants and their descendants: Trinidadian British novelist Samuel Selvon, Jamaican British dub poet Linton Kwesi Johnson, Guyanese British mixed-media artist Hew Locke, and others. To understand social struggle, we will study the life of activist Claudia Jones and her founding of the West Indian Gazette And Afro-Asian Caribbean News. We will consider the memory of Windrush through the moving image, in Steve McQueen's 2020 anthology series Small Axe. Finally, we will examine the 2018 Windrush Scandal, in which at least 83 Britons were unjustly deported, in conversation with works like Hazel Carby's account of the intertwined histories of Jamaica and Britain, Imperial Intimacies (2019). Throughout, we will travel throughout London for museum and studio visits, food, and more. (Fiction, 1830-1990)",Kaneesha Parsard,Autumn,Admission to the London Study Abroad Program,
ENGL ,The Poetry and Prose of Thomas Hardy,100 Units,"A Victorian and a Modernist, a rare master of the arts of fiction and poetry, Thomas Hardy outraged Victorian proprieties and helped to make 20th century literature in English possible. Close reading of four novels and selected early middle, and late poems by Hardy, with attention to the contexts of Victorian and Modern literary culture and society.",Rosanna Warren,"Winter. Not offered 21-22.Note(s): For graduate students and advanced undergraduates.Equivalent Course(s): SCTH 46011, FNDL 26011, ENGL 43708",,"SCTH 46011, FNDL 26011, ENGL 43708"
ENGL ,Literature and Citizenship,100 Units,"What we think of as modernity can be said to begin with the birth (or rebirth) of the citizen. During the 17thand 18th centuries, revolutions in Britain, France, and North America sought to recast political society as a structure built upon social contracts and natural rights of the people rather than the divine right of kings. Yet the category of citizen was (and remains) exclusionary as well as inclusive, frequently deployed to mark those outside its boundaries and protections. During the 19th and 20th centuries, the constructions of race, gender, and nation continued to shift into new forms, and many literature of these centuries focus on how ""the citizen"" is conceived and reinvented into the present. This interdisciplinary, trans-historical, and transatlantic course will discuss how these tensions and debates influence literature and political discourse over four centuries, a breadth that will allow us to trace the concepts and critiques of citizenship as they have come to shape our contemporary world. Primary readings will include William Shakespeare, Tobias Smollett, Olaudah Equiano, Anna Laetitia Barbauld, Herman Melville, Frederick Douglass, Richard Wright, Miné Okubo, and Claudia Rankine. Secondary and theoretical readings will include Michel Foucault, Raymond Williams, Benedict Anderson, Ian Baucom, Lord Mansfield, C. L. R. James, Paul Gilroy, John Locke, Thomas Jefferson, Achille Mbembe, Emma Goldman, and Harry Harootunian.",,,,"ENGL 40110, MAPH 40110"
ENGL ,Drama Queens: Women Playwrights in the Renaissance,100 Units,"This course introduces students to the works of early modern female playwrights from England--including Elizabeth Cary, Aphra Behn, and Margaret Cavendish--and from Continental Europe (in translation)--including the French Marguerite de Navarre (Comedy of Mont-de-Marsan), the Italian Margherita Costa (The Buffoons), the Spanish Ana Caro (The Courage to Right a Woman's Wrongs) and the Mexican Sor Juana Ines de la Cruz (Narcissus), among others. In this course, we will read and think through the complex plays and lives of those brilliant authors through various critical lenses such as intersectional feminism, transnationalism, and premodern critical race studies. (Drama, Pre-1650)",Noémie Ndiaye,Winter,,
ENGL ,Black Quietude,100 Units,This course considers modes of quietude as they intersect experiences of blackness. What can be conveyed or contained in moments of stillness or quiet? Is black quietude a moment of universalism that transcends the determinations of race? Or do black subjects carry or project the experience of racialization into their spaces of quiet? Do we define quiet for the black subject on the same terms as for other racial categories? (Theory),Tina Post,WinterEquivalent Course(s): CRES 24252,,CRES 24252
ENGL ,America's Literary Scientists,100 Units,"This course targets in on the entanglements between science and literature during the nineteenth and early twentieth century in America-a historical moment when these realms did not appear nearly as divided as they do now. In particular, we attend to the period's exciting developments in biology, which promised to revolutionize contemporary notions of human being. Our analysis of American fiction will center on the subjects and methods that writers adopted (imaginatively and often critically) from fields like evolutionary science, microbiology, and experimental psychology. But the course syllabus also includes American scientists who wrote fiction: What types of knowledge did they hope to produce in becoming literary? The aim of our inquiry will, in large part, be to examine the role of literature in shaping the significance of science in American culture, as well as the role of science in helping to build an American literary canon. Along the way, we will track the kinds of experiments in form and genre that such literary-scientific hybrids might produce. Readings may include works by Henry Adams, W.E.B. Du Bois, Charlotte Perkins Gilman, Oliver Wendell Holmes, William James, Silas Weir Mitchell, Mark Twain, and Edith Wharton. Theoretical and critical works will be drawn from the history of science, science and technology studies, and nonhuman studies.",Agnes Malinowska,"SpringNote(s): Open to 3rd and 4th years in the College and MA studentsEquivalent Course(s): ENGL 34255, MAPH 34255",,"ENGL 34255, MAPH 34255"
ENGL ,Forms of Autobiography in the Twentieth and Twenty-First Centuries,100 Units,"This course examines the innovative, creative forms autobiography has taken in the last one hundred years in literature. We will study closely works written between 1933 and 2013 that are exceptional for the way they challenge, subvert and invigorate the autobiographical genre. From unpublished sketches to magazine essays and full-length books, we will see autobiography take many forms and engage with multiple genres and media. These include biography, memoir, fiction, literary criticism, travel literature, the graphic novel and photography. Producing various mutations of the autobiographical genre, these works address some of the same concerns: the self, truth, memory, authenticity, agency and testimony. We will complement discussions of these universal issues with material and historical considerations, examining how the works first appeared and were received. Autobiography will prove a privileged site for probing constructions of family narratives, identity politics and public personas. The main authors studied are Virginia Woolf, Gertrude Stein, James Baldwin, Vladimir Nabokov, Roland Barthes, Paul Auster, Doris Lessing, Marjane Satrapi and W.G. Sebald. (20th/21st)",Christine Fouirnaies,"WinterEquivalent Course(s): GNSE 34526, GNSE 24526, ENGL 34526",,"GNSE 34526, GNSE 24526, ENGL 34526"
ENGL ,Seeing Ourselves: Photography and Literary Non-Fiction,100 Units,"What knowledge about ourselves can photographs provide? Can photographs change the way we see ourselves--collectively, individually? Photography has been around for almost 200 years, yet its dominance in our lives seems only to increase. This course examines photography's influence on our everyday lives, particularly on conceptions and portrayals of the self. We will see how theorists have grappled with the phenomenon of photography, engaging the written word to address its conundrums, dangers, and attractions. With the help of these theorists, we will question the promises that photographs seem to make about representing the world. The purpose of this course is also, however, to take seriously the affective, documentary power of photography. We will thus analyze the creative use of photographs in the non-fiction (or nearly non-fiction) of major 20th- and 21st-century writers (philosophers, critics, journalists, essayists, poets, novelists, activists). Photography will emerge as a productive medium for navigating issues of memory, identity, race, gender, authenticity, agency, publicity, and art. With keen attention to the different capabilities of writing and photography, we will explore the dynamics of self-expression, the ethics of representing others, and the politics of image-text depictions. (Theory; 20th/21st)",Christine Fournaies,WinterEquivalent Course(s): ENGL 34528,,ENGL 34528
ENGL ,Islands and Otherness,100 Units,"The island as a space of possibility - of discovery, of (re)imagination, and of otherness - is a concept with a very long history in Anglophone literature. Indeed, Britain's own archipelagic geography (a landscape unique among Europe's imperial powers) has often been invoked for a range of rhetorical ends. John of Gaunt's famous speech in Richard II uses the idea of Britain as the ""scepter'd isle"" as both a source of comfort (England as especially favored) and the foundation of critique (favor squandered). With the rise of transoceanic empires, writers throughout Great Britain, its colonial dominions, and other literary traditions imbued the symbol of the island with ever-increasing layers of meaning. Yet the island was also always already a location of anxiety, hostility, and liminality - of alternate cultural practices and systems of belief, of indigenous peoples who refused the claims of the colonizer, and where the meaning of Europe itself was destabilized in the colonial encounter. While eighteenth- and nineteenth-century European writers often deployed the island to think through the implications of empire for the metropole, anticolonial writers turned to the island as a site of resistance and recuperation. This transhistorical course will discuss the many significations of the island in metropolitan, colonial, and postcolonial literature as a lens into the conflicts and debates of imperialism.",Tristan Schweiger,"SpringNote(s): Open to MAPH students and 3rd and 4th years in the CollegeEquivalent Course(s): MAPH 34540, ENGL 34540",,"MAPH 34540, ENGL 34540"
ENGL ,"Animals, Ethics and Religion",100 Units,"Why are some animals considered food and others objects of religious devotion? Why do we treat dogs like family and kill flies without a second thought? Why do animals appear so frequently as metaphors in our everyday speech? In this course, students will explore these questions by reading texts featuring animals in literature, scripture, and theory, ranging from the Bible, Zora Neale Hurston, and Franz Kafka to Flannery O’Connor and J.M. Coetzee. We will bring these diverse texts together in order to investigate how animals illuminate religious questions about the relationship among humans, animals, and the divine.",,,,RLST 28020
ENGL ,California Fictions: Literature and Cinema 1945-2018,100 Units,"This course will consider works of literature and cinema from 1884-2018 that take place in Oakland, San Francisco, Los Angeles, the Inland Empire, and rural California to offer a case study for everyday life and critical space theory. Beginning with Helen Hunt Jackson's Ramona and ending with Boots Riley's Sorry to Bother you, we will also consider how ""the west"" provides an opportunity for reconsidering canon formation and genre. (20th/21st)",Megan Tusler,"SpringNote(s): Open to MAPH students: 3rd and 4th years in the College email 2-3 sentences about why you want to take the course for consent.Equivalent Course(s): MAPH 34960, ENGL 34960",,"MAPH 34960, ENGL 34960"
ENGL ,Literary Radicalism and the Global South: Perspectives from South Asia,100 Units,"What does it mean to speak of literary radicalism? What are the hallmarks of a radical literature?  And how does any such body of radical literature relate to the crucial question of empire, while also seeking to not be limited by that address? This course will explore the theme of literary radicalism through perspectives arising from South Asia. Over the twentieth century the subcontinent has been shaped through a wide variety of social and political movements: from anticolonial struggles to communist organising, feminist struggles, anti-caste mobilisation, indigenous protest and more, with their histories intertwining in different ways. We will start with a consideration of some texts on literary radicalism from other parts of the global South by authors such as Julia de Burgos and Ngugi Wa Thiong'o, and then move through a detailed discussion of South Asian texts every week to examine particular aspects of literary style and history. We will study texts from a variety of subcontinental languages (in translation, unless originally in English), and across different forms - poetry, short fiction, children's literature, novels, a memoir, a graphic novel and a documentary film on a poet.",Abhishek Bhattacharyya,SpringNote(s): No prior training in South Asia or literature courses is a requirement.Equivalent Course(s): SALC 25318,,SALC 25318
ENGL ,"Debate, Dissent, Deviate: Literary Modernities in South Asia",100 Units,"This class introduces students to the modernist movement in post-independence South Asia. Modernism will be understood here as a radical experimental movement in literature, film, photography and other arts, primarily aimed at critiquing mainstream narratives of history and culture.  Given its wide scope, we will analyze a variety of texts over the ten-week duration of the class. These include novels, short stories, manifestos, essays, photographs, and films. The chronological span of the class is from the 1930s to the 1970s. Our aim will be to understand the diverse meanings of modernism as we go through our weekly readings. Was it a global phenomenon that was adopted blindly by postcolonial artists? Or were there specifically South Asian innovations that enable us to think about the local story as formative of global modernism? What bearings do such speculations have on genre, gender, and medium, as well as on politics? I will help situate the readings of each week in their specific literary and political contexts. Students will be able to evaluate, experiment with, and analyze various forms of modernist literary expressions emerging out of South Asia. This class will provide them with critical tools to interpret, assess, compare, and contrast cultural histories of non-Western locations and peoples, with an eye for literary radicalism. No prior knowledge of any South Asian history or language is necessary.",S. Dasgupta,"SpringEquivalent Course(s): CRES 25320, KNOW 25320, SALC 35320, SALC 25320, GLST 25132, GNSE 25320",,"CRES 25320, KNOW 25320, SALC 35320, SALC 25320, GLST 25132, GNSE 25320"
ENGL ,Digital Storytelling,100 Units,"New media have changed the way that we tell and process stories. Over the last few decades, writers and designers have experimented with text, video, audio, design, animation, and interactivity in unprecedented ways, producing new types of narratives about a world transformed by computers and communications networks. These artists have explored the cultural dimensions of information culture, the creative possibilities of digital media technologies, and the parameters of human identity in the network era.
This course investigates the ways that new media have changed contemporary society and the cultural narratives that shape it. We will explore narrative theory through a number of digital or digitally-inflected forms, including cyberpunk fictions, text adventure games, interactive dramas, videogames, virtual worlds, transmedia novels, location-based fictions, and alternate reality games. Our critical study will concern issues such as nonlinear narrative, network aesthetics, and videogame mechanics. Throughout the quarter, our analysis of computational fictions will be haunted by gender, class, race, and other ghosts in the machine.",Ian Bryce Jones,"WinterEquivalent Course(s): CMST 25945, MAAD 14945",,"CMST 25945, MAAD 14945"
ENGL ,Literature and Hunger,100 Units,"This course pursues themes of hunger the consumption of food, the formation of community, and relation to the sacred, through a sequence of readings in the Western tradition. By reading classic works (The Odyssey, selections from the Hebrew Bible and Christian Scriptures, selections from The Divine Comedy, the Letters of St. Catherine of Siena, Paradise Lost), and modern works by Kafka, Simone Weil, and Louise Gluck, we will examine how different philosophies have imagined the acceptance or rejection of love, life, and the sacred in terms of the symbolism of food. Class work will involve close analysis of literary works, even those in translation; intensive critical writing; and secondary readings in literary criticism, anthropology, theology, and psychology.",Rosanna Warren,"Autumn. Not offered in 2021-2022.Equivalent Course(s): SCTH 26002, RLST 26002",,"SCTH 26002, RLST 26002"
ENGL ,Literary Biography,100 Units,"Literary Biography: A Workshop.  We will study four major literary biographies: Elizabeth Gaskell's The Life of Charlotte Brontë (1857), Lytton Strachey's Eminent Victorians (1918), Walter Jackson Bate's John Keats (1964), and Hermione Lee's Virginia Woolf (1996). While analyzing the arts of literary biography, students will compose a biographical sketch of their own (20 pages), using primary materials from the Special Collections in the Regenstein Library and elsewhere, as appropriate. The course combines literary criticism and creative writing.",Rosanna Warren,"Autumn. Course will be taught Autumn 2021.Equivalent Course(s): SCTH 36017, ENGL 36077",,"SCTH 36017, ENGL 36077"
ENGL ,"Poetry and Trauma: Hayden, Lowell, Plath",100 Units,"We will read the poems of three 20th century American poets, Robert Hayden, Robert Lowell, and Sylvia Plath, with an eye to the historical and psychological wounds suffered by the poets and the transformation of wounds into art. By close attention to both text and context, we will try to feel our way into the mysteries of poetic creation and human resilience.",Rosanna Warren,"WinterEquivalent Course(s): ENGL 36018, SCTH 36018",,"ENGL 36018, SCTH 36018"
ENGL ,American Literature and Photography,100 Units,"This class considers how photographic techniques spurred new literary methods. We'll discuss how visual media impact the development of forms, methods, and genres of literature, and how pictures and novels can be read together. Students will learn how to consider the visual register in novels, and how the drive to make fiction ""real,"" or ""photographic,"" helps to shed light on many attendant issues - the question of evidence, the problem of reliability, the terms of objectivity. We will discuss the drive to narrate real events in photographic and literary terms, and the limits of representation. Furthermore, we will think carefully about how discourses of race and poverty are imbricated with the development of photographic technologies and methods, and how racial groups such as American Indians are invented and reinvented in the advent of the mobile camera. Primary texts include fiction by Stephen Crane, Ella Cara Deloria, and Ralph Ellison and secondary texts include works from Roland Barthes, Walter Benjamin, Judith Butler, Susan Sontag, and Gerald Vizenor.",Megan Tusler,"SpringNote(s): Instructor consent required for undergraduates.Equivalent Course(s): AMER 25150, ENGL 45150, MAPH 40150, AMER 40150",,"AMER 25150, ENGL 45150, MAPH 40150, AMER 40150"
ENGL ,Elizabeth Bishop and Robert Lowell,100 Units,"An intensive study of these two poets, whose work differs radically, but whose friendship nourished some of the most enduring and original poetry of the American 20th century. Close attention to the poems, in the light of recent biographical work and new editions.",Rosanna Warren,"AutumnEquivalent Course(s): SCTH 36002, ENGL 36222",,"SCTH 36002, ENGL 36222"
ENGL ,Death Panels: Exploring dying and death through comics,100 Units,"What do comics add to the discourse on dying and death? What insights do comics provide about the experience of dying, death, caregiving, grieving, and memorialization? Can comics help us better understand our own wishes about the end of life? This is an interactive course designed to introduce students to the field of graphic medicine and explore how comics can be used as a mode of scholarly investigation into issues related to dying, death, and the end of life. The framework for this course intends to balance readings and discussion with creative drawing and comics-making assignments. The work will provoke personal inquiry and self-reflection and promote understanding of a range of topics relating to the end of life, including examining how we die, defining death, euthanasia, rituals around dying and death, and grieving. The readings will primarily be drawn from a wide variety of graphic memoirs and comics, but will be supplemented with materials from a variety of multimedia sources including the biomedical literature, philosophy, cinema, podcasts, and the visual arts. Guest participants in the course may include a funeral director, chaplain, hospice and palliative care specialists, cartoonists, and authors. The course will be taught by a nurse cartoonist and a physician, both of whom are active in the graphic medicine community and scholars of the health humanities.",Brian Callendar,"SpringEquivalent Course(s): KNOW 36230, ENGL 36230, HLTH 26230, HIPS 26230, ARTV 20018",,"KNOW 36230, ENGL 36230, HLTH 26230, HIPS 26230, ARTV 20018"
ENGL ,Literature and the Financial Crisis of 2008,100 Units,"Many political observers argue that the challenges of our current political moment stem from the causes and responses to the financial crisis of 2008.  In this course we will examine literary fiction, films, and television from the US, the UK, and Asia to understand how the challenges of representing the 2008 reflected and contributed to the crisis. In doing so we will also seek a better understanding of neoliberalism as a theory and a politics. Among the texts we will take up are several novels, Aravind Adiga, The White Tiger: A Novel; Rachel Cusk, Transit; Ben Lerner, 10:04: A Novel; and John Lanchester, Capital: A Novel; two films, The Big Short (Adam McKay) and Parasite (Bong Joon Ho); and the first season of the television series, Severance.(Fiction, Theory)",Kenneth Warren,"AutumnEquivalent Course(s): LLSO 26249, SIGN 26064",,"LLSO 26249, SIGN 26064"
ENGL ,Richer and Poorer: Income Inequality,100 Units,"Current political and recent academic debate have centered on income or wealth inequality. Data suggests a rapidly growing divergence between those earners at the bottom and those at the top. This course seeks to place that current concern in conversation with a range of moments in nineteenth and twentieth century history when literature and economics converged on questions of economic inequality. In keeping with recent political economic scholarship by Thomas Piketty, we will be adopting a long historic view and a somewhat wide geographic scale as we explore how economic inequality is represented, measured, assessed and addressed.  Charles Dickens, Richard Wright, HG Wells, will be among the writers explored. (Fiction, 1830-1990, Theory)",Elaine Hadley,WinterEquivalent Course(s): SIGN 26004,,SIGN 26004
ENGL ,The Moment of Raisin,100 Units,"In conjunction with the Court Theatre's production of Lorraine Hansberry's landmark 1959 play A Raisin the Sun, this course will place Hansberry's play in its literary and historical context to understand more thoroughly the play's success in its historical moment and its ongoing importance.  We will also discuss subsequent theatrical and cinematic productions and adaptations.  Among the other works we will consider are:  James Baldwin's Notes of a Native Son, Paule Marshall's Brown Girl, Brownstones, Gwendolyn Brooks's The Bean Eaters, and Harper Lee's To Kill a Mockingbird, and Ann Petry's The Street.  Students will be expected to attend the play.",Kenneth Warren,Winter,,
ENGL ,Milton and Blake: Conceptions of the Christian Epic,100 Units,Milton wrote Paradise Lost to capture in epic form the essence of Christianity; Blake wrote Jerusalem to correct Milton's mistakes.  We'll read them together to get in on the debate.,Richard Rosengarten,"WinterEquivalent Course(s): RLST 26401, RLVC 36401, ENGL 36401, FNDL 25307",,"RLST 26401, RLVC 36401, ENGL 36401, FNDL 25307"
ENGL ,T,S,"With the major new edition of Eliot's poems by Jim McCue and Christopher Ricks, the new volumes of Eliot's letters, and two separate new editions of Eliot's complete prose, we are in a position to rethink the meanings and force of Eliot's life work. The class will be devoted to careful reading of his poems, essays, plays, and correspondence, with attention to his literary, cultural, and political contexts.",Rosanna Warren,"Spring. Course will be taught spring 2021Equivalent Course(s): SCTH 36014, FNDL 26614, ENGL 34850",,"SCTH 36014, FNDL 26614, ENGL 34850"
ENGL ,Eccentric Moderns,100 Units,"An examination of six idiosyncratic poets who invented new forms of language on the peripheries of High Modernism: David Jones, Laura Riding, Hart Crane, W.H. Auden, Geoffrey Hill, and Anne Carson. Close formal analysis of the poems in the wider social and political contexts of the 20th and early 21st centuries.",Rosanna Warren,Autumn,Open to advanced undergraduates.,"ENGL 36710, SCTH 36710"
ENGL ,Reading the Known World: Medieval Travel Genres,100 Units,"This course will consider how medieval English readers came to knowledge of their world, and imagined a place within it, through genres of travel narrative such as the pilgrim's itinerary, the merchant manual, and the saint's life. We will reflect on genre as concept en route: how did generic conventions and strategies organize this knowledge of unknown lands, other peoples, and distant marvels? We will read medieval texts like Book of Margery Kempe, Mandeville's Travels, and the Digby play of Mary Magdalene, along with medieval and modern literary theory, to survey how vernacular literature presented a picture of the world and charted paths across it. Students will leave the class proficient in reading Middle English (the precursor of modern English). No previous experience with the language is required, and an optional weekly reading group will meet to work through passages in this half-new language.",Joe Stadolnik,"WinterEquivalent Course(s): HIPS 27012, KNOW 27012",,"HIPS 27012, KNOW 27012"
ENGL ,Being Corporate,100 Units,"Corporations suffuse our lives. We study with them, work with them, consume their products-even become part of them through the purchase of stock. But what, exactly, is a corporation? In this course, we will trace the evolution of the US corporation from its historical roots through the present day. Our focus will be twofold: the evolving rights and responsibilities of the corporate person in law, and the ways that individual humans both inside and outside the corporate structure have imagined that person in a wider social context. Texts will include US court cases, legal treatises, historical analyses, novels, and cultural ephemera. By the end of the course, students will have a deeper understanding of the persistent and evolving problems of corporate personhood and corporate social responsibility, both from a business and a consumer perspective.",Nicolette I. Bruner,"SpringEquivalent Course(s): HIPS 27006, KNOW 27013",,"HIPS 27006, KNOW 27013"
ENGL ,Graphic Medicine: Comic Creation as Knowledge Formation,100 Units,"What does the medium of comics contribute to our knowledge and understanding of illness, disability, caregiving, and disease? How can making comics help us form individual and community knowledge about our bodies and health? This is a course designed to introduce students to the basic concepts and practices of the field of graphic medicine. To do this, we will closely engage with the elements and process of making comics as applied to the goals, principles, and applications of graphic medicine in particular, but also in relation to the health humanities.
Broadly defined as the ""intersection between the medium of comics and the discourse of healthcare,"" graphic medicine allows for unique explorations of health, disease, and illness through the use of sequential images and textual elements within a narrative structure. Students will learn about conceptual and practical aspects of the field. Through critical analysis and discussion of key works, they will also be exposed to a variety of styles, genres, and applications that capture the breadth and diversity of graphic medicine. An important component of the class will be exercises through which students will create their own graphic medicine works as a way to explore knowledge formation about health, illness, and one's body through comics-making. Taught by a nurse cartoonist (and a founding figure in the field) and a physician.","Brian Callender, MK Czerwiec",Spring,"No prior knowledge or experience of graphic novels, comics, drawing, or medicine required.","HLTH 27015, CHSS 37015, HIPS 27015, KNOW 27015, KNOW 37015"
ENGL ,Passing,100 Units,"In this course, we examine how people move within and between categories of identity, with particular attention to boundary crossings of race and gender in U.S. law and literature from the nineteenth century to the present. Law provides a venue and a language through which forces of authority police categories of identity that, at Jean Stefancic and Richard Delgado observe, ""society invents, manipulates, or retires when convenient."" Readings will include theoretical texts as well as court rulings, cultural ephemera, and literary texts.",Nicolette I. Bruner,"SpringEquivalent Course(s): KNOW 27017, GNSE 27017, CRES 27017",,"KNOW 27017, GNSE 27017, CRES 27017"
ENGL ,Dissident Lit,100 Units,"This seminar will explore the literature and history of ""the dissident,"" a central figure of late 20th-century and 21st-century human rights politics. Through our readings of novels, essays, and criticism drawn from a range of traditions (from the US and Latin America to Russia and East-Central Europe) we will consider both the possibilities and dilemmas of literary dissidence.",,,,"ENGL 47102, HMRT 37102, HMRT 27102"
ENGL ,"Fugitive Poetics: Slaves, Runaways, Exiles, and Nineteenth-Century American Poetry",100 Units,"This course considers late-eighteenth- and nineteenth-century American poetry from the perspective of the disprized. One central point of discussion will be how slavery and indentured servitude-and the attendant urge for escape and freedom from these and other carceral institutions-shaped the American poetic imaginary. We will take up both the poetry and poetic theory written by fugitives and explore poetry itself as a form of fugitivity for the enslaved, politically exiled, or ideologically confined. Central figures in the traditional canon of nineteenth-century U.S. poetry-Poe, Whitman, and Dickinson-will be considered from this vantage alongside figures like Harriet Jacobs, Frances E. W. Harper, José María Heredia y Heredia, and José Martí, among others. In the process, we will explore
the potential connections and collisions between these nineteenth-century literary texts and contemporary lyric and critical race theory. This course is as interested in the nineteenth-century construction of a national American poetics as it is in American poetry itself; equal weight will be given to poetry and prose. Topics will include the poetic imaginary in early American statecraft, prosody and the carceral condition (what Max Cavitch calls ""Slavery and its Metrics""), blackface lyrics and class mobility, abolitionism, and inter-American literary exchange.",Jake Fournier,SpringEquivalent Course(s): CRES 27533,,CRES 27533
